Date,Close,Open,High,Low,Volume
2018-09-25,6400.0,6454.61,6470.63,6329.17,1877.9515190411998
2018-09-24,6601.74,6710.33,6710.33,6392.19,2062.521305094
2018-09-23,6694.99,6696.5,6764.72,6666.67,399.2035940107
2018-09-22,6679.31,6734.23,6752.5,6630.0,621.8142201167
2018-09-21,6689.93,6547.12,6818.23,6519.62,3197.5052574065003
2018-09-20,6412.15,6401.19,6573.67,6338.65,2541.8200052685997
2018-09-19,6327.41,6354.78,6518.24,6107.74,3745.5759415502002
2018-09-18,6359.52,6232.6,6384.29,6232.6,2292.2286852223997
2018-09-17,6266.7,6511.22,6511.24,6209.01,2860.8255632872997
2018-09-16,6473.02,6485.47,6529.99,6357.9,488.5267328042
2018-09-15,6535.89,6555.0,6555.0,6469.0,42.9088542679
2018-09-14,6480.98,6555.0,6555.0,6555.0,0.0
2018-09-13,6482.29,6384.05,6579.81,6361.26,2329.6736662907997
2018-09-12,6263.25,6255.37,6428.98,6200.0,2234.9108301931
2018-09-11,6249.93,6346.95,6350.0,6165.44,2143.9280643755
2018-09-10,6290.62,6300.0,6418.71,6226.31,2168.0588934355
2018-09-09,6379.8,6177.75,6177.75,6177.75,0.0
2018-09-08,6434.14,6426.07,6460.68,6120.0,2290.807402166
2018-09-07,6373.81,6495.18,6529.99,6320.71,2228.8021934588
2018-09-06,6409.5,6415.88,6529.99,6274.0,3767.7613253414
2018-09-05,6983.57,7360.0,7372.68,6226.0,7418.539755654399
2018-09-04,7354.9,7256.15,7409.27,7215.02,3630.7082418129
2018-09-03,7274.84,7250.45,7325.0,7170.7,1498.9550270382001
2018-09-02,7217.04,7182.17,7330.99,7180.87,1212.2727647786
2018-09-01,7172.99,7054.18,7250.0,7027.57,1039.1504575627
2018-08-31,6953.12,6960.89,7088.22,6880.0,2633.7687997867
2018-08-30,6852.09,7024.17,7024.17,6795.7,3309.242339778
2018-08-29,6964.08,7030.87,7119.5,6908.92,2662.9876413332
2018-08-28,7040.41,6871.09,7125.0,6871.09,4014.083932459
2018-08-27,6741.1,6672.8,6944.99,6671.11,4056.1115405981
2018-08-26,6673.72,6614.01,6734.6,6571.0,1002.453157219
2018-08-22,6419.71,6731.63,6761.31,6251.0,4830.186892294199
2018-08-21,6422.5,6310.92,6900.0,6286.05,3611.9093415014
2018-08-20,6443.72,6488.53,6508.37,6232.21,3050.3083509782
2018-08-19,6400.01,6345.52,6552.23,6330.83,1022.2159303028999
2018-08-18,6358.36,6526.19,6541.54,6300.0,1290.7944390586001
2018-08-17,6482.56,6420.52,6619.79,6412.98,3436.1736351543
2018-08-16,6422.73,6283.4,6475.0,6240.0,2735.8870789000002
2018-08-15,6450.49,6304.99,6623.09,6210.04,4243.7762265987
2018-08-14,6036.01,5988.18,6304.99,5964.48,4328.6100505509
2018-08-13,6287.39,6346.43,6546.29,5886.0,5659.5355728737
2018-08-12,6323.08,6285.68,6487.2,6200.34,1464.9213406659
2018-08-11,6115.09,6467.92,6467.92,6108.28,51.9119882971
2018-08-10,6452.57,6467.92,6467.92,6467.92,0.0
2018-08-09,6453.99,6320.19,6626.62,6195.01,3013.7540736451
2018-08-08,6483.81,6588.97,6588.97,6104.82,5458.9003733342
2018-08-07,7116.32,6935.87,7148.53,6500.0,2922.2486115522997
2018-08-06,6966.48,7094.08,7115.0,6835.0,1969.0031904420998
2018-08-05,6997.88,7000.0,7184.0,6895.13,686.333920068
2018-08-04,6975.01,7462.42,7474.85,6891.0,1715.680837926
2018-08-03,7475.51,7645.43,7645.43,7645.43,0.0
2018-08-02,7517.21,7645.43,7645.43,7645.43,0.0
2018-08-01,7595.21,7532.57,7706.7,7431.0,2061.9995781789003
2018-07-31,7745.1,8110.25,8132.02,7501.01,3546.1636232934998
2018-07-30,8112.25,8172.32,8197.05,7849.54,2969.2191142428996
2018-07-29,8223.3,8223.02,8274.97,8077.23,752.0110506931
2018-07-28,8113.84,7873.46,7873.46,7873.46,0.0
2018-07-27,8145.0,7873.46,7873.46,7873.46,0.0
2018-07-26,8199.04,8220.93,8290.0,7843.05,3851.7841411628997
2018-07-25,8100.0,8350.37,8438.37,8039.99,3564.8213045241996
2018-07-24,8189.46,7746.56,8480.0,7746.56,4754.926253568499
2018-07-23,7726.62,7618.85,7810.0,7614.78,3206.4170545418
2018-07-22,7521.3,7417.79,7667.53,7333.98,995.1694459522
2018-07-21,7406.39,7283.12,7483.61,7261.41,514.7269885936
2018-07-20,7459.84,7452.63,7676.31,7214.96,2851.9061176082
2018-07-19,7377.86,7319.48,7557.28,7299.0,4021.2029029282003
2018-07-18,7423.19,7455.0,7584.03,7241.19,3640.4318031353005
2018-07-17,6756.95,6739.98,7542.06,6657.66,5584.3443956436995
2018-07-16,6622.7,6355.0,6750.01,6343.57,3052.4752255185
2018-07-15,6369.28,6255.01,6382.7,6254.9,744.3919909241
2018-07-14,6244.7,6245.0,6280.0,6203.79,29.2525757111
2018-07-13,6259.72,6245.0,6245.0,6245.0,0.0
2018-07-12,6167.02,6345.18,6345.18,6075.0,3067.0250150991997
2018-07-11,6359.44,6343.17,6400.0,6287.54,3116.0112221639
2018-07-10,6380.65,6639.37,6654.23,6262.94,5725.3298533601
2018-07-09,6720.0,6708.02,6798.97,6620.0,2815.4664292965003
2018-07-08,6737.86,6722.39,6769.58,6669.0,1788.5718110393
2018-07-07,6558.69,6595.36,6848.84,6510.17,2880.9957077795
2018-07-06,6565.73,6525.51,6525.51,6525.51,0.0
2018-07-05,6618.44,6622.28,6686.74,6446.68,5075.8014004606
2018-07-04,6683.99,6459.62,6794.53,6457.4,4019.5008698744
2018-07-03,6579.36,6631.33,6669.47,6313.27,5178.667730520399
2018-07-02,6619.75,6333.03,6673.9,6267.68,4632.6247541563
2018-07-01,6310.69,6350.48,6410.0,6254.23,1988.8020559082001
2018-06-30,6375.93,6368.34,6448.85,6305.92,1255.3795331496
2018-06-29,5902.7,5875.0,6600.0,5785.17,4986.8115734949
2018-06-28,6098.01,6086.11,6128.99,5825.26,2604.3346797946
2018-06-27,6109.23,6036.86,6177.31,5987.01,1524.3755424406
2018-06-26,6185.0,6240.61,6275.0,6000.0,2693.4642741439
2018-06-25,6290.0,6133.12,6349.46,6075.19,2900.0581266269
2018-06-24,5793.91,6086.03,6254.16,5768.4,2937.7409935451
2018-06-23,6116.73,6114.4,6259.09,6031.03,1218.8646193306
2018-06-22,6160.0,6669.99,6674.38,5940.05,5342.7513998871
2018-06-21,6718.99,6770.0,6770.0,6770.0,0.0
2018-06-20,6755.64,6617.19,6815.21,6580.41,1466.5424795088
2018-06-19,6740.0,6689.17,6831.0,6550.59,2251.2051109088
2018-06-18,6455.57,6415.25,6800.0,6380.41,2249.0962628813
2018-06-17,6522.74,6531.4,6574.34,6390.0,873.5941823908
2018-06-16,6360.2,6413.16,6550.0,6333.98,1374.9883262511999
2018-06-15,6539.11,6614.62,6664.53,6365.52,2973.9040305660997
2018-06-14,6340.05,6495.14,6711.42,6314.94,4246.3508701269
2018-06-13,6387.99,6555.0,6619.84,6122.94,7469.1380006772
2018-06-12,6759.99,6827.89,6866.25,6444.03,4594.6862979266
